path,species,issues,severity
data\plantnet_300K\images_test\Anemone_nemorosa\cb720be09ebc21eb5eb4ea2f45ca259c84e5f066.jpg,Anemone_nemorosa,,0.0
data\plantnet_300K\images_test\Melilotus_albus\6ac77ee39921378fb0fdc2844b79fa9fecc8989d.jpg,Melilotus_albus,,0.0
data\plantnet_300K\images_test\Lapsana_communis\109b93d91c2828659228f6f7fd6a79b4d81a5f3f.jpg,Lapsana_communis,,0.0
data\plantnet_300K\images_test\Hypericum_androsaemum\74306bc513ecd6700c7de447649b6d7af4a96c19.jpg,Hypericum_androsaemum,,0.0
data\plantnet_300K\images_test\Nymphaea_alba\bb99ef01923fabc1b57d8fade5f392d16cd761ca.jpg,Nymphaea_alba,,0.0
data\plantnet_300K\images_test\Tagetes_erecta\4e61a0ebb0e39ddbc9739ede083a53b3500babeb.jpg,Tagetes_erecta,,0.0
data\plantnet_300K\images_test\Tagetes_erecta\eb909a9fae74747a3f72c5644608d4501b28eb86.jpg,Tagetes_erecta,,0.0
data\plantnet_300K\images_test\Melilotus_albus\2f61fda4a3c950709bb1a978df75cb9523bf8e3c.jpg,Melilotus_albus,,0.0
data\plantnet_300K\images_test\Barringtonia_asiatica\57e989dd9296b0a30cd8abd7003b875081d05c36.jpg,Barringtonia_asiatica,,0.0
data\plantnet_300K\images_test\Trifolium_incarnatum\38e1a039148c5b6895ddc2d8953ee789d30bea58.jpg,Trifolium_incarnatum,,0.0
data\plantnet_300K\images_test\Neotinea_ustulata\e47c91d113b9b63f085980d418be30723cb88db1.jpg,Neotinea_ustulata,,0.0
data\plantnet_300K\images_test\Trachelospermum_jasminoides\312fbec7931e06aacfd7d8e9e035da9e762550d5.jpg,Trachelospermum_jasminoides,,0.0
data\plantnet_300K\images_test\Dryopteris_filix-mas\dc0a41df8035bff25af19404cae87eb69ecfe55a.jpg,Dryopteris_filix-mas,,0.0
data\plantnet_300K\images_test\Anemone_sylvestris\7853b2861ebdab5239921d2d04a11dc763ed58ba.jpg,Anemone_sylvestris,,0.0
data\plantnet_300K\images_test\Loropetalum_chinense\ac38d7b84e82865881714361bf32b786c520c95f.jpg,Loropetalum_chinense,,0.0
data\plantnet_300K\images_test\Acacia_saligna\9d759267276da581b542764a55cc352ac3de2752.jpg,Acacia_saligna,,0.0
data\plantnet_300K\images_test\Fragaria_vesca\1c74a76bede43103fd59862a64a544b236821387.jpg,Fragaria_vesca,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\b69930a2857185fa059517f2cb4729b971b3cb6b.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Epipactis_helleborine\e8cc88be58de23b3ceeddbec96c307e653c8e2e5.jpg,Epipactis_helleborine,,0.0
data\plantnet_300K\images_test\Trifolium_arvense\b947669cd5e7d38ee57896f85f6b94768c206abf.jpg,Trifolium_arvense,,0.0
data\plantnet_300K\images_test\Pyracantha_coccinea\34fbcea99a2e3204e04b63800986512c2dec5b2a.jpg,Pyracantha_coccinea,,0.0
data\plantnet_300K\images_test\Cucurbita_pepo\a22a162867c6ea6a37ff5281d90ead6894136c0d.jpg,Cucurbita_pepo,,0.0
data\plantnet_300K\images_test\Anthericum_liliago\e440706437d87726cab2d7bc31bce10b40697589.jpg,Anthericum_liliago,,0.0
